name,town,state,operator,usage_type,power_kw,connectors,lat,long
Palakkad Ahalia Food Point EVCS - GO EC,Elappully,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) ",10.792032259171833,76.82834711933714
Edassery Samrudhi Hypermarket (EVOK) - ChargeMOD,Chalakudy,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.30310177272014,76.33704224327056
Indian Coffee House (EVOK) - ChargeMOD,Chalakkudy,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.28934329936537,76.33706820135649
Velanthavalam,Vellamthavalam,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.809362994233211,76.8463215936606
Reliance Fresh EVCS - GO EC,Kozhikode,Keral,GO EC (IN),Public - Membership Required,,CCS (Type 2),11.23473742288897,75.84670658837746
Clay House Hotel,Chalakkudy,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.285574229385333,76.34237765373388
Koratty Chennai Anandabhavan EVCS - GO EC,Koratty,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.277244588754584,76.34452807905916
 Adyar Ananda Bhavan Navakkarai,Navakkarai,Tamil Nadu,Zeon Charging,Public,,CCS (Type 2),10.85592,76.86251
HiLite Business Park - Zeon,Kozhikode,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),11.24701615784167,75.83467863520764
HiLite Mall - Zeon,Kozhikode,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),11.248102467880244,75.83413591969762
Rotana Motors Meenchanda - Tata Power,Meenchanda,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),11.213908526645213,75.80263211133581
IOCL Lakshmi Sales & Service - Tata Power,Kozhikode,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),11.233626863224842,75.80323852757283
Yadav EV Charging Station - ChargeMOD,Kunnamangalam,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.311692154536999,75.88259339920793
Parekkat's EVCS - GO EC,Mala,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.24066911823239,76.27252885130724
Green Amp EVCS - GO EC,Kozhikode,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",11.258801023176659,75.80890434709403
Locus EVCS - ChargeMOD,Koduvally,Kerala,ChargeMod (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2)",11.339683842558287,75.89871568981823
Kuttoth Enterprises EVCS - ChargeMOD,Kozhikode,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.28067356202429,75.8246316733898
